,Title,Genre,Descrption
27,The Prestige,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
28,The Departed,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
29,Parasite,"Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
30,Alien,"Horror, Sci-Fi",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
31,Gladiator,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
32,Back to the Future,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
33,Whiplash,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
34,Léon: The Professional,"Action, Crime, Drama","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
35,The Pianist,"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
36,Psycho,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
37,The Usual Suspects,"Crime, Drama, Mystery","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
38,The Lion King,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
39,The Lion King,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
40,American History X,"Crime, Drama",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
41,The Intouchables,"Biography, Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
42,Casablanca,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
43,Once Upon a Time in the West,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
44,Rear Window,"Mystery, Thriller","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
45,Cinema Paradiso,"Drama, Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
46,City Lights,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
47,Modern Times,"Comedy, Drama, Romance",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
48,Memento,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.
49,The Dark Knight Rises,"Action, Drama, Thriller","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
50,Avengers: Endgame,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
51,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
52,Joker,"Crime, Drama, Thriller",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
53,Django Unchained,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
54,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
